Position,2023-04-14 19:35,2023-04-14 20:35,2023-04-14 21:35,2023-04-14 22:35,2023-04-14 23:35,2023-04-15 00:35,2023-04-15 01:35,2023-04-15 02:35,2023-04-15 03:35,2023-04-15 04:35,2023-04-15 05:35,2023-04-15 06:35,2023-04-15 07:35,2023-04-15 08:35,2023-04-15 09:35,2023-04-15 10:35,2023-04-15 11:35,2023-04-15 12:35,2023-04-15 13:35,2023-04-15 14:35,2023-04-15 15:35,2023-04-15 16:35,2023-04-15 17:35,2023-04-15 18:35,2023-04-15 19:35,2023-04-15 20:35,2023-04-15 21:35,2023-04-15 22:35,2023-04-15 23:35
西屯區-BOT-星享道公有P,295,316,306,285,271,247,248,248,249,250,249,247,249,247,240,247,257,286,295,285,264,261,327,381,392,375,326,297,268
西屯區-BOT-福星立體P,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
西屯區-交通局-文修P,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
西屯區-交通局-逢甲P,217,224,215,204,200,197,198,198,198,193,194,193,191,188,183,193,208,214,213,212,214,212,220,239,234,223,212,209,202
西屯區-民營-車王P,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第二場),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-二少P(第一場),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-華廈P,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-二少P(第二場),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
西屯區-民營-好P(第二場),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-福星北二P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-奎溢P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-北一街P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
北區-交通局-雙十國中地下P,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
北區-民營-中友P,101,101,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,104,104,104,102,98,104,100,104,87,8,0,0
北區-交通局-新興P,191,191,166,89,45,35,29,27,26,26,26,24,29,37,58,101,188,191,191,191,191,191,191,191,191,191,186,110,181
北區-交通局-臺中公園地下P,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北區-民營-中國醫藥大學五權立體P,238,227,204,167,156,157,151,151,151,149,149,150,172,252,315,344,359,345,384,431,452,406,404,441,431,345,252,155,140
北區-科博-科博館第一(博館路)停車場,38,20,13,3,2,2,2,2,2,2,3,3,3,7,40,64,89,89,89,89,89,72,48,57,50,18,2,2,2
北區-科博-科博館第二(植物園)停車場,36,36,36,36,36,36,36,36,36,36,36,36,36,36,102,142,142,142,179,179,1,30,30,30,30,30,30,30,30
北區-科博-科博館第三(西屯)停車場,18,12,10,11,9,10,10,10,10,10,10,10,6,8,46,94,168,168,168,168,161,119,46,16,13,10,6,7,8
西區-民營-廣三SOGO停車場,216,178,67,0,0,0,0,0,0,0,0,0,0,0,0,0,138,262,367,364,334,286,309,348,361,278,125,0,0
西區-觀旅局-草悟廣場地下P,139,148,102,71,51,44,41,38,36,36,35,35,34,40,66,103,162,228,228,228,228,228,228,228,227,198,128,55,42
西區-民營-台灣聯通勤美誠品P,554,559,450,390,384,379,381,383,382,382,382,380,390,408,414,432,535,647,752,831,824,774,714,726,719,658,506,394,373
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西區-民營-Times台中博館三街P,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
西區-民營-OSCAR Park 1P,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
南屯區-交通局-文心森林公園附屬P,117,104,79,80,67,64,62,55,52,52,52,50,55,67,85,115,116,115,110,117,117,117,116,102,105,101,90,92,80
南屯區-交通局(捷運文心森林公園站)-惠文P,190,168,148,112,98,95,95,96,96,95,96,101,102,99,178,208,238,244,279,310,310,280,262,219,211,180,160,138,140
南屯區-民營-宜家家居台中店P,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
西區-國美館-國美館美術園區P,3,0,0,0,0,0,0,0,0,0,0,0,0,17,28,62,110,128,128,127,128,124,103,68,63,31,3,0,0
西區-國美館-國美館民生園區P,38,31,25,31,34,35,35,35,34,34,34,34,42,50,63,87,87,87,87,87,87,87,87,87,87,75,68,33,31
西區-文化局-臺中市大墩文化中心平面P,23,4,0,0,0,0,0,0,0,0,0,0,0,0,11,36,49,50,50,50,50,47,31,50,50,46,0,0,0
西區-交通局-美村P,98,88,64,43,42,40,40,40,40,40,39,39,42,44,51,61,97,99,101,101,101,98,100,101,100,81,53,41,39
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北屯區-交通局(捷運四維國小站)-三光P,37,47,37,29,30,30,31,31,31,31,29,28,27,39,60,63,63,62,62,63,63,62,45,42,38,40,32,30,29
西屯區-交通局-市政公園P,433,368,313,275,263,254,255,255,252,251,252,252,247,259,272,296,357,432,495,590,638,633,590,558,492,400,324,274,258
南屯區-交通局(捷運水安宮站)-水安宮地下P,89,93,87,80,79,76,75,75,76,76,76,77,75,84,92,95,102,104,103,101,104,100,101,100,103,100,96,82,83
南屯區-交通局(捷運文心森林公園站)-惠文P,190,168,148,112,98,95,95,96,96,95,96,101,102,99,178,208,238,244,279,310,310,280,262,219,211,180,160,138,140
南屯區-交通局(捷運豐樂公園站)-豐樂P,140,117,88,64,56,53,52,50,49,48,48,49,48,50,68,105,175,335,361,342,349,351,351,361,361,275,153,64,49
南屯區-交通局(捷運豐樂公園站)-豐功P,91,67,49,38,35,30,29,27,27,29,30,30,29,32,45,58,97,97,96,92,56,50,90,94,97,68,35,28,26
南區-交通局(捷運大慶站)-大慶P,27,131,8,6,3,4,4,4,4,4,4,5,9,22,44,38,42,27,23,131,22,20,131,13,16,16,131,131,131
烏日區-公所(捷運烏日站)-烏日區停八P,50,55,60,63,64,66,51,67,51,68,66,51,63,81,51,51,75,51,48,51,51,56,58,61,64,68,67,69,71
豐原區-公有-豐原轉運中心停車場,132,132,122,117,116,115,116,116,116,119,120,120,117,119,118,131,144,150,159,156,147,151,154,149,131,119,123,121,124
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豐原區-交通局-葫蘆墩圳平面P3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
豐原區-交通局-葫蘆墩圳平面P4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
豐原區-民營-全聯豐原向陽P,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
豐原區-民營-Times台中豐原向陽博愛P,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北屯區-民營-臺中洲際棒球場立體P,1033,1026,992,798,573,572,575,575,577,577,576,573,569,566,557,561,551,586,637,755,758,752,581,533,525,520,521,524,528
北屯區-交通局-仁德P,113,108,82,74,75,76,75,75,77,76,77,77,73,70,90,115,104,135,141,137,89,88,96,102,103,91,86,80,79
北屯區-建設局-(細廣停1)P,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
北屯區-交通局-廣兼停23平面P(仁和公園P),42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
北屯區-民營-台灣聯通台中崇美P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,1,1,5,5,4,0,0,0
北屯區-民營-幸福車房山西站P,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
