Position,2023-04-09 13:52,2023-04-09 14:52,2023-04-09 15:52,2023-04-09 16:52,2023-04-09 17:52,2023-04-09 18:52,2023-04-09 19:52,2023-04-09 20:52,2023-04-09 21:52,2023-04-09 22:52,2023-04-09 23:52,2023-04-10 00:52,2023-04-10 01:52,2023-04-10 02:52,2023-04-10 03:52,2023-04-10 04:52,2023-04-10 05:52,2023-04-10 06:52,2023-04-10 07:52,2023-04-10 08:52,2023-04-10 09:52,2023-04-10 10:52,2023-04-10 11:52,2023-04-10 12:52,2023-04-10 13:52,2023-04-10 14:52,2023-04-10 15:52,2023-04-10 16:52,2023-04-10 17:52,2023-04-10 18:52,2023-04-10 19:52,2023-04-10 20:52,2023-04-10 21:52,2023-04-10 22:52,2023-04-10 23:52
西屯區-公有-大鵬P,7,6,3,3,3,7,10,8,5,5,6,8,7,6,5,6,7,13,15,15,15,15,15,15,11,12,11,10,15,12,9,5,4,5,5
北屯區-公有-敦化P,8,9,11,13,11,11,10,9,7,8,7,7,7,7,7,7,7,7,6,7,8,8,8,8,8,8,8,9,9,9,9,10,9,8,8
西屯區-民營-城市車旅-西安站P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-愛買水湳P,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
西屯區-民營-逢甲大學凱旋P,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
西屯區-民營-安心P,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
西屯區-BOT-星享道公有P,216,202,205,220,255,304,307,271,253,228,216,212,212,212,211,211,210,211,207,206,207,208,207,214,210,209,208,210,218,241,260,247,238,227,216
西屯區-BOT-福星立體P,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
西屯區-公有-文修P,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
西屯區-公有-逢甲P,221,216,209,213,209,224,226,220,222,214,209,206,206,207,207,206,205,203,194,194,211,220,211,208,216,223,210,211,216,222,224,219,214,204,201
西屯區-民營-車王P,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第二場),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-二少P(第一場),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-華廈P,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-二少P(第二場),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
西屯區-民營-好P(第二場),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-福星北二P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-奎溢P,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-北一街P,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
北區-公有-雙十國中地下P,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
北區-民營-中友P,100,101,100,102,104,103,90,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,97,94,96,54,23,43,97,99,13,0,0,0
北區-公有-新興P,191,191,191,191,191,191,189,173,118,55,35,33,32,31,31,32,32,31,30,42,53,68,77,122,135,147,152,147,142,164,178,136,85,43,35
北區-公有-臺中公園地下P,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
